Store ID,Product Name,Stock Quantity,Reorder Point
Market Square,Natural Bread,80,10
University Store,Fresh Mineral Water,79,13
Industrial Zone,Organic Yogurt,33,25
Hilltop Store,Classic Samosa,48,7
Market Square,Premium Ice Cream,43,18
Garden District,Organic Dates,31,14
University Store,Organic Cornflakes,73,22
Airport Kiosk,Homestyle Candy,32,8
Market Square,Fresh Soda,71,5
Mall Outlet,Premium Cashews,76,11
University Store,Natural Milk,55,23
Mall Outlet,Classic Tea,19,25
Tech Park,Classic Sugar,28,20
Bus Terminal,Natural Tortilla,33,25
Riverside Shop,Natural Cashews,2,7
Garden District,Homestyle Cornflakes,22,10
Industrial Zone,Classic Yogurt,5,7
Railway Station,Fresh Pepper,14,21
Garden District,Premium Ketchup,25,5
Downtown Store,Homestyle Bread,21,12
Riverside Shop,Organic Iced Tea,48,9
Airport Kiosk,Organic Gum,26,12
Tech Park,Classic Cereal,52,25
Garden District,Homestyle Cinnamon,29,7
University Store,Homestyle Cake Mix,2,23
Market Square,Fresh Juice,12,10
Bus Terminal,Organic Oats,25,12
Mall Outlet,Natural Almonds,78,18
Bus Terminal,Fresh Noodles,6,8
Highway Branch,Natural Peanut Butter,46,24
Downtown Store,Classic Frozen Pizza,33,8
Hilltop Store,Homestyle Pancake Mix,60,20
Hilltop Store,Premium Flour,53,23
Lakeview Branch,Homestyle Turmeric,3,5
Lakeview Branch,Organic Rice,15,25
Riverside Shop,Homestyle Butter,12,19
Railway Station,Classic Dates,45,11
Tech Park,Homestyle Chapati,24,14
Tech Park,Fresh Peanut Butter,69,12
University Store,Fresh Cinnamon,67,20
Mall Outlet,Premium Pepper,11,15
University Store,Homestyle Mineral Water,65,14
Railway Station,Natural Waffle Mix,16,8
Bus Terminal,Homestyle Milk,9,22
Bus Terminal,Organic Salt,19,20
Highway Branch,Natural Turmeric,25,6
Tech Park,Fresh Iced Tea,8,6
Riverside Shop,Fresh Almonds,68,5
Tech Park,Classic Coconut Water,71,11
University Store,Homestyle Bread,74,25
Mall Outlet,Fresh Tea,28,10
Mall Outlet,Premium Coriander,3,5
Hospital Canteen,Classic Peanuts,78,11
Highway Branch,Fresh Ground Coffee,11,22
Airport Kiosk,Organic Croissant,46,10
Lakeview Branch,Premium Bagel,51,10
Hospital Canteen,Organic Pancake Mix,7,10
Mall Outlet,Fresh Turmeric,16,8
Railway Station,Premium Nutella,74,16
Lakeview Branch,Fresh Tortilla,23,21
Industrial Zone,Homestyle Fish Fillet,29,10
Industrial Zone,Premium Gum,65,5
Mall Outlet,Homestyle French Fries,12,17
Bus Terminal,Natural Jam,16,8
Garden District,Premium Fish Fillet,61,22
Railway Station,Homestyle Cream,19,24
Downtown Store,Fresh Tea,42,8
Hospital Canteen,Fresh Pasta,66,17
Tech Park,Fresh Green Tea,23,18
Bus Terminal,Fresh Popcorn,4,10
Highway Branch,Organic Pickle,80,23
University Store,Organic Cashews,63,15
Airport Kiosk,Homestyle Cheese,4,14
Hilltop Store,Organic Oil,48,11
Mall Outlet,Natural Croissant,68,13
Garden District,Organic Crackers,9,15
Downtown Store,Premium Pita Bread,43,15
Downtown Store,Natural Pepper,35,21
Hospital Canteen,Fresh Flour,72,14
Railway Station,Classic Pancake Mix,64,19
Downtown Store,Fresh Popcorn,65,21
University Store,Premium French Fries,59,24
Bus Terminal,Organic Muesli,2,22
Hilltop Store,Homestyle Green Tea,31,5
Hilltop Store,Premium Bagel,52,13
Hilltop Store,Fresh Bagel,7,15
Industrial Zone,Natural Vinegar,31,15
Hospital Canteen,Homestyle Energy Drink,2,7
Bus Terminal,Classic Chicken Nuggets,22,19
Highway Branch,Premium Muffin,78,19
Airport Kiosk,Classic Waffle Mix,19,22
Highway Branch,Natural Sparkling Water,5,8
Tech Park,Homestyle Cumin,72,12
Highway Branch,Organic Salt,48,8
Mall Outlet,Homestyle Spring Rolls,22,7
Tech Park,Fresh Jam,34,5
Railway Station,Classic Ice Cream,27,17
Market Square,Organic Noodles,11,24
Riverside Shop,Organic Pickle,48,5
Highway Branch,Fresh Pancake Mix,7,17
Hospital Canteen,Organic Turmeric,10,20
Hilltop Store,Homestyle Coconut Water,36,20
Garden District,Organic Popcorn,13,19
Downtown Store,Homestyle Cereal,52,13
Market Square,Premium Pickle,58,23
Railway Station,Classic Chapati,67,22
Railway Station,Fresh Honey,13,10
Industrial Zone,Classic Rice,34,6
Bus Terminal,Homestyle Cream,79,5
University Store,Homestyle Sugar,40,22
Hilltop Store,Organic Almonds,33,22
Hilltop Store,Natural Soup,17,23
Downtown Store,Classic Chapati,17,8
Garden District,Classic Turmeric,37,15
Lakeview Branch,Premium Mineral Water,65,17
Bus Terminal,Premium Spring Rolls,55,7
Riverside Shop,Classic Peanuts,45,9
University Store,Natural Sparkling Water,53,5
Mall Outlet,Natural Butter,6,23
Highway Branch,Classic Sugar,14,19
Railway Station,Fresh Waffle Mix,44,7
Industrial Zone,Classic Frozen Veggies,63,19
Garden District,Classic Cheese,7,9
Industrial Zone,Organic Peanut Butter,28,22
Downtown Store,Fresh Mineral Water,46,12
University Store,Premium Croissant,66,10
Bus Terminal,Premium Pancake Mix,19,15
Tech Park,Fresh Sauce,21,6
Riverside Shop,Classic Pita Bread,47,25
Riverside Shop,Homestyle Yogurt,25,22
University Store,Natural Mayonnaise,74,22
Bus Terminal,Classic Bread,32,16
Lakeview Branch,Natural Sauce,65,10
Bus Terminal,Fresh Butter,79,11
Airport Kiosk,Homestyle Bread,45,20
Industrial Zone,Homestyle Pepper,4,10
Lakeview Branch,Classic Fish Fillet,34,5
Industrial Zone,Classic Sauce,80,12
Riverside Shop,Natural Sauce,53,18
Airport Kiosk,Homestyle Coconut Water,79,21
University Store,Homestyle Muffin,51,14
Market Square,Fresh Paratha,36,9
Hilltop Store,Premium Muffin,33,23
Market Square,Fresh Popcorn,42,17
Garden District,Homestyle Soup,46,9
Lakeview Branch,Fresh Cashews,79,7
Market Square,Homestyle Ground Coffee,72,18
Hilltop Store,Premium Muffin,53,10
Garden District,Organic Nutella,62,12
Hospital Canteen,Classic Raisins,30,12
Tech Park,Fresh Nutella,2,17
Hilltop Store,Fresh Milk,9,8
Railway Station,Premium Cream,26,12
University Store,Homestyle Nutella,9,8
University Store,Homestyle Cumin,19,7
Hospital Canteen,Premium Raisins,27,13
Industrial Zone,Homestyle Turmeric,45,10
Tech Park,Premium Black Tea,29,17
Highway Branch,Classic Yogurt,69,22
Railway Station,Fresh Biscuits,29,11
Hospital Canteen,Premium Pancake Mix,6,14
University Store,Fresh Whole Beans,48,16
Garden District,Homestyle Soda,17,25
University Store,Fresh Cornflakes,36,14
Industrial Zone,Organic Pancake Mix,12,7
Mall Outlet,Premium Nutella,45,13
Industrial Zone,Natural Instant Coffee,35,14
Riverside Shop,Premium Juice,63,25
University Store,Fresh Salt,12,25
Market Square,Natural Turmeric,40,10
Tech Park,Homestyle Milk,40,17
Airport Kiosk,Natural Jam,16,16
Mall Outlet,Fresh Rice,16,8
Industrial Zone,Premium Mineral Water,36,20
Hilltop Store,Natural Muffin,24,13
Hilltop Store,Premium Crackers,38,10
Riverside Shop,Natural Samosa,66,19
Highway Branch,Fresh Sparkling Water,58,11
Hospital Canteen,Fresh Mustard,69,20
Hospital Canteen,Homestyle Croissant,74,8
Hospital Canteen,Fresh Cashews,2,6
Bus Terminal,Premium Bread,17,13
Hospital Canteen,Homestyle Biscuits,11,21
Airport Kiosk,Classic Crackers,37,20
Industrial Zone,Natural Green Tea,24,12
Downtown Store,Premium Biscuits,61,22
Highway Branch,Fresh Herbal Tea,43,11
Mall Outlet,Organic Biscuits,66,7
Highway Branch,Fresh Mineral Water,53,14
Industrial Zone,Fresh Cashews,63,22
Hilltop Store,Homestyle Mayonnaise,51,10
University Store,Fresh Muesli,8,25
Mall Outlet,Classic Croissant,36,25
Railway Station,Organic Oil,56,18
Lakeview Branch,Homestyle Frozen Veggies,77,17
Mall Outlet,Homestyle Green Tea,5,17
Garden District,Classic Cashews,78,25
Railway Station,Fresh Dates,59,14
Riverside Shop,Organic Black Tea,20,7
Market Square,Classic Chapati,64,24
Lakeview Branch,Homestyle Bread,6,17
Hospital Canteen,Organic Sugar,56,7
Tech Park,Homestyle Pancake Mix,36,19
Mall Outlet,Premium Honey,76,5
Mall Outlet,Organic Ground Coffee,23,15
Downtown Store,Organic Croissant,26,7
Railway Station,Organic Cereal,2,13
Garden District,Organic Soup,25,20
Highway Branch,Natural Coconut Water,71,18
Garden District,Classic Peanuts,67,12
Hilltop Store,Organic Tortilla,16,10
Downtown Store,Natural Raisins,52,7
University Store,Homestyle Chicken Nuggets,80,22
University Store,Organic Muffin,49,6
Tech Park,Premium Waffle Mix,52,17
Riverside Shop,Natural Pita Bread,59,21
Industrial Zone,Fresh Herbal Tea,22,6
Industrial Zone,Organic Cinnamon,10,14
Mall Outlet,Fresh Chicken Nuggets,36,9
University Store,Premium Peanuts,3,25
Bus Terminal,Fresh Coriander,64,10
Airport Kiosk,Homestyle Almonds,70,18
Mall Outlet,Homestyle Energy Drink,47,23
Hospital Canteen,Fresh Oil,68,15
Lakeview Branch,Natural Paratha,78,13
Bus Terminal,Premium Salt,62,18
Airport Kiosk,Classic Ice Cream,64,24
Market Square,Fresh Butter,77,12
Downtown Store,Premium Chips,42,20
Bus Terminal,Natural Instant Coffee,62,24
Hilltop Store,Natural Cumin,28,17
Bus Terminal,Premium Chicken Nuggets,4,20
University Store,Homestyle Mineral Water,14,6
Hospital Canteen,Natural Frozen Veggies,29,24
University Store,Homestyle Herbal Tea,70,8
Hospital Canteen,Organic Rice,37,12
Riverside Shop,Organic Mayonnaise,32,15
Garden District,Premium Chicken Nuggets,5,9
Market Square,Premium Cereal,72,25
Railway Station,Natural Waffle Mix,51,18
Lakeview Branch,Organic Butter,55,11
Hospital Canteen,Fresh Syrup,61,17
Downtown Store,Classic Spring Rolls,64,15
Tech Park,Organic Almonds,23,7
Downtown Store,Organic Coconut Water,66,14
Highway Branch,Premium Popcorn,23,9
Railway Station,Fresh Nutella,38,8
Market Square,Organic Tea,18,13
Hospital Canteen,Natural Ice Cream,39,6
Market Square,Premium Jam,79,25
Airport Kiosk,Premium Sugar,53,16
Airport Kiosk,Premium Coffee,22,13
Hilltop Store,Fresh Coconut Water,62,19
Garden District,Homestyle Herbal Tea,77,15
Downtown Store,Classic Vinegar,59,18
